2024-06-28 13:09:22 Player2 Move, Edge: (3, 4) => (4, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (1, 2) => (1, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (0, 0) => (0, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (2, 1) => (2, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (5, 2) => (5, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (4, 3) => (5, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (2, 5) => (3, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (4, 0) => (4, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (0, 2) => (0, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (2, 3) => (3, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (2, 2) => (3, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (0, 4) => (0, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (2, 3) => (2, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (2, 4) => (2, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (0, 5) => (1, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (1, 3) => (1, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (3, 1) => (4, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (4, 4) => (5, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (0, 1) => (0, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (0, 3) => (0, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (2, 0) => (3, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (1, 1) => (1, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (1, 5) => (2, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (2, 0) => (2, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (4, 4) => (4, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (4, 1) => (5, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (3, 3) => (4, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (1, 0) => (2, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (0, 0) => (1, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player1 Move, Edge: (5, 1) => (5, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:23 Player2 Move, Edge: (3, 2) => (4, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:32 Player1 Move, Edge: (2, 2) => (2, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:32 Player1 Move, Edge: (3, 2) => (3, 3) Player1 Score: 1, Player2 Score: 0
2024-06-28 13:09:41 Player1 Move, Edge: (4, 2) => (4, 3) Player1 Score: 2, Player2 Score: 0
2024-06-28 13:09:41 Player1 Move, Edge: (4, 2) => (5, 2) Player1 Score: 3, Player2 Score: 0
2024-06-28 13:09:41 Player1 Move, Edge: (4, 1) => (4, 2) Player1 Score: 4, Player2 Score: 0
2024-06-28 13:09:41 Player1 Move, Edge: (3, 1) => (3, 2) Player1 Score: 5, Player2 Score: 0
2024-06-28 13:09:41 Player1 Move, Edge: (2, 1) => (3, 1) Player1 Score: 6, Player2 Score: 0
2024-06-28 13:09:48 Player1 Move, Edge: (3, 0) => (3, 1) Player1 Score: 7, Player2 Score: 0
2024-06-28 13:09:48 Player1 Move, Edge: (3, 0) => (4, 0) Player1 Score: 8, Player2 Score: 0
2024-06-28 13:09:54 Player2 Move, Edge: (3, 5) => (4, 5) Player1 Score: 8, Player2 Score: 0
2024-06-28 13:09:54 Player2 Move, Edge: (3, 4) => (3, 5) Player1 Score: 8, Player2 Score: 1
2024-06-28 13:10:01 Player1 Move, Edge: (5, 3) => (5, 4) Player1 Score: 8, Player2 Score: 1
2024-06-28 13:10:06 Player1 Move, Edge: (4, 3) => (4, 4) Player1 Score: 9, Player2 Score: 1
2024-06-28 13:10:11 Player1 Move, Edge: (3, 3) => (3, 4) Player1 Score: 10, Player2 Score: 1
2024-06-28 13:10:11 Player1 Move, Edge: (2, 4) => (3, 4) Player1 Score: 12, Player2 Score: 1
2024-06-28 13:10:15 Player2 Move, Edge: (4, 0) => (5, 0) Player1 Score: 12, Player2 Score: 1
2024-06-28 13:10:15 Player2 Move, Edge: (5, 0) => (5, 1) Player1 Score: 12, Player2 Score: 2
2024-06-28 13:10:19 Player1 Move, Edge: (4, 5) => (5, 5) Player1 Score: 12, Player2 Score: 2
2024-06-28 13:10:19 Player1 Move, Edge: (5, 4) => (5, 5) Player1 Score: 13, Player2 Score: 2
2024-06-28 13:10:22 Player2 Move, Edge: (0, 4) => (1, 4) Player1 Score: 13, Player2 Score: 2
2024-06-28 13:10:24 Player2 Move, Edge: (1, 4) => (1, 5) Player1 Score: 13, Player2 Score: 3
2024-06-28 13:10:27 Player2 Move, Edge: (0, 3) => (1, 3) Player1 Score: 13, Player2 Score: 4
2024-06-28 13:10:29 Player2 Move, Edge: (0, 2) => (1, 2) Player1 Score: 13, Player2 Score: 5
2024-06-28 13:10:32 Player2 Move, Edge: (0, 1) => (1, 1) Player1 Score: 13, Player2 Score: 6
2024-06-28 13:10:34 Player2 Move, Edge: (1, 0) => (1, 1) Player1 Score: 13, Player2 Score: 7
2024-06-28 13:10:36 Player2 Move, Edge: (1, 1) => (2, 1) Player1 Score: 13, Player2 Score: 8
2024-06-28 13:10:38 Player2 Move, Edge: (1, 2) => (2, 2) Player1 Score: 13, Player2 Score: 9
2024-06-28 13:10:41 Player2 Move, Edge: (1, 3) => (2, 3) Player1 Score: 13, Player2 Score: 10
2024-06-28 13:10:41 Player2 Move, Edge: (1, 4) => (2, 4) Player1 Score: 13, Player2 Score: 12
2024-06-28 13:10:41 Player1 Win! Score: 13
