2024-06-28 13:19:20 Player1 Edge: (3, 3) => (4, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (1, 0) => (1, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (0, 4) => (0, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (0, 1) => (1, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (3, 0) => (4, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (1, 4) => (1, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (1, 2) => (1, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (2, 0) => (2, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (1, 3) => (2, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (2, 4) => (2, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (2, 3) => (2, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (0, 2) => (1, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (2, 1) => (3, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (3, 1) => (3, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (4, 2) => (4, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (3, 3) => (3, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (5, 3) => (5, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (3, 5) => (4, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (2, 5) => (3, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (0, 3) => (0, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (4, 0) => (5, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (4, 4) => (5, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (5, 0) => (5, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (5, 4) => (5, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (3, 1) => (4, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player2 Edge: (4, 2) => (5, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:20 Player1 Edge: (5, 1) => (5, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:31 Player2 Edge: (0, 0) => (1, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:19:41 Player1 Edge: (0, 0) => (0, 1) Player1 Score: 1, Player2 Score: 0
2024-06-28 13:19:53 Player1 Edge: (4, 5) => (5, 5) Player1 Score: 1, Player2 Score: 0
2024-06-28 13:20:05 Player2 Edge: (4, 4) => (4, 5) Player1 Score: 1, Player2 Score: 1
2024-06-28 13:20:18 Player2 Edge: (1, 5) => (2, 5) Player1 Score: 1, Player2 Score: 1
2024-06-28 13:20:18 Player1 Edge: (1, 4) => (2, 4) Player1 Score: 2, Player2 Score: 1
2024-06-28 13:20:18 Player1 Edge: (1, 3) => (1, 4) Player1 Score: 3, Player2 Score: 1
2024-06-28 13:20:30 Player1 Edge: (5, 2) => (5, 3) Player1 Score: 3, Player2 Score: 1
2024-06-28 13:20:30 Player2 Edge: (4, 3) => (5, 3) Player1 Score: 3, Player2 Score: 2
2024-06-28 13:20:43 Player2 Edge: (4, 3) => (4, 4) Player1 Score: 3, Player2 Score: 3
2024-06-28 13:20:56 Player2 Edge: (3, 4) => (4, 4) Player1 Score: 3, Player2 Score: 4
2024-06-28 13:21:08 Player2 Edge: (3, 4) => (3, 5) Player1 Score: 3, Player2 Score: 5
2024-06-28 13:21:20 Player2 Edge: (2, 4) => (3, 4) Player1 Score: 3, Player2 Score: 6
2024-06-28 13:21:31 Player2 Edge: (2, 3) => (3, 3) Player1 Score: 3, Player2 Score: 7
2024-06-28 13:21:42 Player2 Edge: (2, 2) => (2, 3) Player1 Score: 3, Player2 Score: 7
2024-06-28 13:21:42 Player1 Edge: (1, 2) => (2, 2) Player1 Score: 4, Player2 Score: 7
2024-06-28 13:21:52 Player1 Edge: (1, 0) => (2, 0) Player1 Score: 4, Player2 Score: 7
2024-06-28 13:22:02 Player2 Edge: (1, 1) => (2, 1) Player1 Score: 4, Player2 Score: 8
2024-06-28 13:22:11 Player2 Edge: (0, 2) => (0, 3) Player1 Score: 4, Player2 Score: 8
2024-06-28 13:22:11 Player1 Edge: (0, 3) => (1, 3) Player1 Score: 5, Player2 Score: 8
2024-06-28 13:22:11 Player1 Edge: (0, 4) => (1, 4) Player1 Score: 6, Player2 Score: 8
2024-06-28 13:22:11 Player1 Edge: (0, 5) => (1, 5) Player1 Score: 7, Player2 Score: 8
2024-06-28 13:22:20 Player1 Edge: (2, 0) => (3, 0) Player1 Score: 7, Player2 Score: 8
2024-06-28 13:22:20 Player2 Edge: (3, 0) => (3, 1) Player1 Score: 7, Player2 Score: 9
2024-06-28 13:22:20 Player2 Edge: (4, 0) => (4, 1) Player1 Score: 7, Player2 Score: 10
2024-06-28 13:22:20 Player2 Edge: (4, 1) => (5, 1) Player1 Score: 7, Player2 Score: 11
2024-06-28 13:22:20 Player2 Edge: (4, 1) => (4, 2) Player1 Score: 7, Player2 Score: 12
2024-06-28 13:22:20 Player2 Edge: (3, 2) => (4, 2) Player1 Score: 7, Player2 Score: 13
2024-06-28 13:22:20 Player2 Edge: (3, 2) => (3, 3) Player1 Score: 7, Player2 Score: 14
2024-06-28 13:22:20 Player2 Edge: (2, 2) => (3, 2) Player1 Score: 7, Player2 Score: 15
2024-06-28 13:22:20 Player2 Edge: (2, 1) => (2, 2) Player1 Score: 7, Player2 Score: 16
2024-06-28 13:22:20 Player2 Edge: (1, 1) => (1, 2) Player1 Score: 7, Player2 Score: 17
2024-06-28 13:22:20 Player2 Edge: (0, 1) => (0, 2) Player1 Score: 7, Player2 Score: 18
2024-06-28 13:22:20 Player2 Win! Score: 18
